1,*,KAWASHIMA,GK
5,13,2014-37,4
5,14,2014-37,2
5,15,2014-22,9
5,15,2014-37,6
5,16,2014-06,4
5,16,2014-22,11
5,16,2014-37,2
5,17,2014-06,3
5,17,2014-37,7
5,18,2014-06,1
5,18,2014-22,2
5,2,2014-06,1
5,22,2014-06,1
5,22,2014-22,2
5,22,2014-37,1
5,4,2014-06,6
5,4,2014-22,7
5,4,2014-37,4
5,7,2014-06,3
5,7,2014-22,9
5,8,2014-37,2
5,9,2014-06,1
5,9,2014-22,6
6,10,2014-06,5
6,1,2014-06,2
6,16,2014-06,5
6,18,2014-06,1
6,2,2014-06,2
6,22,2014-06,8
6,4,2014-06,1
6,7,2014-06,4
6,9,2014-06,2
7,10,2014-06,6
7,10,2014-22,6
7,13,2014-06,1
7,13,2014-22,7
7,15,2014-22,5
7,16,2014-06,5
7,16,2014-22,10
7,2,2014-06,3
7,2,2014-22,6
7,22,2014-06,2
7,22,2014-22,2
7,4,2014-06,3
7,4,2014-22,8
7,5,2014-06,2
7,5,2014-22,8
7,6,2014-06,1
7,9,2014-22,1
8,16,2014-37,1
8,17,2014-37,1
8,2,2014-37,1
8,4,2014-37,1
8,5,2014-37,1
9,10,2014-06,2
9,10,2014-37,1
9,13,2014-37,1
9,14,2014-37,1
9,15,2014-22,2
9,16,2014-06,4
9,16,2014-22,4
9,17,2014-06,2
9,18,2014-22,1
9,2,2014-06,1
9,2,2014-22,1
9,2,2014-37,1
9,22,2014-06,1
9,4,2014-06,3
9,4,2014-22,2
9,4,2014-37,2
9,5,2014-22,2
9,6,2014-06,1
9,7,2014-06,2
9,7,2014-22,1
10,13,2014-06,1
10,13,2014-37,7
10,14,2014-37,4
10,15,2014-37,5
10,16,2014-06,6
10,16,2014-22,2
10,16,2014-37,1
10,17,2014-06,2
10,17,2014-37,6
10,18,2014-06,4
10,2,2014-06,2
10,2,2014-22,3
10,2,2014-37,2
10,22,2014-06,2
10,22,2014-22,1
10,22,2014-37,1
10,4,2014-06,13
10,4,2014-22,3
10,4,2014-37,3
10,5,2014-06,6
10,5,2014-22,3
10,5,2014-37,8
10,7,2014-06,4
10,7,2014-22,9
10,9,2014-22,1
11,13,2014-37,2
11,17,2014-37,1
11,22,2014-06,1
11,5,2014-37,1
13,10,2014-06,1
13,10,2014-22,1
13,10,2014-37,4
13,14,2014-37,2
13,15,2014-22,1
13,15,2014-37,2
13,16,2014-06,1
13,16,2014-22,3
13,16,2014-37,1
13,17,2014-22,3
13,17,2014-37,4
13,18,2014-22,3
13,2,2014-22,2
13,2,2014-37,5
13,22,2014-06,1
13,22,2014-22,1
13,4,2014-06,2
13,4,2014-22,3
13,4,2014-37,3
13,5,2014-22,1
13,5,2014-37,1
13,7,2014-06,1
13,7,2014-22,2
13,9,2014-22,1
13,9,2014-37,1
14,10,2014-37,6
14,13,2014-37,2
14,15,2014-37,4
14,17,2014-37,5
14,2,2014-37,4
14,4,2014-37,2
14,9,2014-37,2
15,10,2014-37,4
15,1,2014-37,2
15,13,2014-37,6
15,14,2014-37,2
15,17,2014-37,10
15,2,2014-37,1
15,22,2014-37,11
15,4,2014-37,5
15,5,2014-37,6
15,8,2014-37,1
15,9,2014-37,1
16,10,2014-06,6
16,10,2014-37,3
16,11,2014-37,2
16,1,2014-06,1
16,1,2014-37,1
16,13,2014-06,2
16,13,2014-37,2
16,17,2014-06,6
16,17,2014-37,2
16,2,2014-06,3
16,2,2014-37,1
16,22,2014-06,3
16,4,2014-06,5
16,4,2014-37,1
16,5,2014-06,3
16,5,2014-37,2
16,6,2014-06,3
16,7,2014-06,2
16,9,2014-06,7
16,9,2014-37,1
17,10,2014-06,10
17,10,2014-37,9
17,11,2014-37,2
17,1,2014-22,1
17,1,2014-37,1
17,13,2014-22,1
17,13,2014-37,1
17,14,2014-37,6
17,15,2014-22,7
17,15,2014-37,6
17,16,2014-06,4
17,16,2014-22,9
17,16,2014-37,3
17,18,2014-06,1
17,2,2014-06,2
17,2,2014-22,4
17,2,2014-37,1
17,22,2014-22,9
17,22,2014-37,7
17,4,2014-06,1
17,4,2014-22,9
17,4,2014-37,5
17,5,2014-06,2
17,5,2014-22,1
17,5,2014-37,9
17,6,2014-06,2
17,9,2014-06,3
17,9,2014-22,2
18,10,2014-06,2
18,15,2014-22,1
18,17,2014-06,2
18,17,2014-22,2
18,2,2014-22,1
18,22,2014-22,1
18,4,2014-06,3
18,4,2014-22,3
18,5,2014-22,1
18,7,2014-06,1
18,7,2014-22,1
18,9,2014-22,1
22,10,2014-06,3
22,10,2014-22,2
22,10,2014-37,3
22,1,2014-06,1
22,1,2014-22,2
22,1,2014-37,4
22,13,2014-06,1
22,13,2014-22,4
22,13,2014-37,1
22,14,2014-37,3
22,15,2014-22,24
22,15,2014-37,13
22,16,2014-06,5
22,16,2014-22,4
22,16,2014-37,2
22,17,2014-06,4
22,17,2014-22,9
22,17,2014-37,5
22,18,2014-06,3
22,18,2014-22,1
22,2,2014-06,2
22,2,2014-22,9
22,2,2014-37,10
22,4,2014-06,1
22,4,2014-22,4
22,4,2014-37,3
22,5,2014-22,1
22,5,2014-37,1
22,6,2014-06,3
22,7,2014-06,3
22,7,2014-22,4
22,8,2014-37,1
22,9,2014-06,2
22,9,2014-37,1
